[0.037s] Invoking command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh -- -j4 -l4
[0.096s] Invoked command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh' returned '0': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh -- -j4 -l4
[0.178s] Invoking command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh --target tests -- -j4 -l4
[0.246s] Built target tests
[0.426s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes
[0.427s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/sensors
[0.427s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/sensors/r200.jpg
[0.427s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/sensors/astra.dae
[0.427s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/sensors/astra.jpg
[0.427s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/sensors/r200.dae
[0.427s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/sensors/lds.stl
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/wheels
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/wheels/left_tire.stl
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/wheels/right_tire.stl
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/wheels/right_tire_reduced.stl
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/wheels/left_tire_reduced.stl
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases
[0.428s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/waffle_pi_base_reduced.stl
[0.429s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/burger_base.stl
[0.429s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/waffle_pi_base.stl
[0.429s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/waffle_base_for_open_manipulator.stl
[0.429s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/waffle_pi_base_for_open_manipulator.stl
[0.429s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/waffle_base.stl
[0.430s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/meshes/bases/burger_base_decimated.stl
[0.430s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf
[0.430s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_burger_for_autorace.gazebo.xacro
[0.430s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_waffle_pi.gazebo.xacro
[0.431s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_burger.urdf.xacro
[0.431s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_waffle_for_open_manipulator.urdf.xacro
[0.433s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/common_properties.xacro
[0.434s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_waffle_pi_for_open_manipulator.urdf.xacro
[0.434s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_burger_for_autorace.urdf.xacro
[0.434s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_waffle_pi.urdf.xacro
[0.435s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_waffle.urdf.xacro
[0.435s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_waffle.gazebo.xacro
[0.436s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/urdf/turtlebot3_burger.gazebo.xacro
[0.437s] Invoked command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh' returned '0': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh --target install -- -j4 -l4
